DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
LUFKIN ISD,003903,003 ANGELINA,07,Met Standard,17,8494,27.8,39.3,29.2,0.2,1.4,0.1,1.9,74.1,17.8,10.6,22.3,18.3,10.9,96.3,2.7,88,87.6,499,391,78,80,63,80,85,77,69,74,89,89,96,100,75,72,40.9,26.5,1473,18.6,1291.1,602.6,0.7,2.8,8,46.7,13.7,28.2,99137,66598,50548,43596,38,6.6,14.1,29,13.9,14.4,12.4,11,8.3,78.2,2.5,60.6,11.7,4,11.3,4.3,8.1,248001,1.205,74359247,8742,47.3,37.1,15.6,22128984,0,77846714,68347825,8035,54.3,6.2,5.1,12.1,22.4,37107184,4362,58.4,15.9,13.1,1.1,3.5,0.3,2,1.2,3.6,1,"5,000 to 9,999",Independent Town,"$234,604 to < $255,082",$1.1254 to under $1.2321
HUNTINGTON ISD,003904,003 ANGELINA,07,Met Standard,5,1735,2.7,6.1,88.6,0.5,0.2,0.1,1.8,52.1,0.9,10.1,0.9,32.9,5.8,95.9,1.7,89.2,93.9,123,75,75,79,57,77,80,77,53,70,76,95,.,.,83,68,58.5,26.4,1458,21,241.4,116.8,1.7,3.2,8.5,48.4,9.9,28.3,95259,72484,50961,42861,3.9,7.2,14.9,35.1,12.6,12.2,13.8,0,0.9,99.1,0,73.4,12.4,6.1,0,6.1,2,120535,1.45,17534327,10014,66.6,21.5,11.9,2544599,0,16178129,13803655,7883,51.7,8.3,6.2,12.5,21.3,7130238,4072,57.1,17.2,13.4,0.3,5.5,0.3,5.3,0.7,0,0.2,"1,600 to 2,999",Non-metropolitan Stable,"$100,904 to < $148,669",$1.3593 and over
DIBOLL ISD,003905,003 ANGELINA,07,Met Standard,6,1996,12.1,53.2,32.8,0.1,0.2,0,1.6,72.8,17.8,7.8,16.8,22.8,4.5,96,1.7,89.8,95.2,115,79,69,73,48,78,74,60,60,66,78,-1,-1,.,66,65,58.3,25.4,1477,19.5,277.8,145,1.4,2.9,5.9,52.2,9.5,28.1,86905,62427,46995,44299,29.6,7.2,13.8,33.2,10.9,19.2,11.1,5.5,10.5,84,0,76.9,3,12.2,0.7,4.8,2.4,134798,1.28,19420616,9883,63.7,20.1,16.1,4844203,0,26171765,16036829,8161,52.7,8,5.5,12,21.9,8446479,4298,49.6,10.3,20.5,3.8,4.2,3.1,3.6,1.1,3.2,0.5,"1,600 to 2,999",Non-metropolitan Stable,"$100,904 to < $148,669",$1.2321 to under $1.3593
ZAVALLA ISD,003906,003 ANGELINA,07,Met Standard,2,441,0.5,4.1,91.2,0.7,0,0,3.6,59.9,0,10.4,0,24.9,3.9,95.8,0.7,96.6,96,29,27,77,85,61,77,76,74,.,83,76,100,.,.,60,72,58.6,5.9,1401,22.6,70.4,36.1,2.8,1.4,6.1,51.2,12.5,25.9,79731,60250,36778,44634,1.4,6.3,12.2,8,13.8,11.6,10.5,0,2.8,94.5,2.8,74.4,5.2,10.8,0,7.9,1.7,201288,1.421,5251629,11801,55.8,27.2,17,2077977,0,4866740,4035268,9068,61.2,8.7,4.3,9.7,16.1,2470715,5552,54.9,14.4,20.5,0,5.6,0.4,2.9,1.3,0,0,Under 500,Rural,"$200,659 to < $226,787",$1.3593 and over
CENTRAL ISD,003907,003 ANGELINA,07,Met Standard,4,1540,5.5,17.1,75.5,0.6,0.1,0,1.3,55.4,3.4,9,3.4,22.2,4.6,96,0.2,97.5,97.2,123,82,79,81,60,83,88,75,66,76,80,79,-1,.,96,73,29.3,13.9,1419,-1,207.8,112.8,1.7,5.3,8.2,54.3,9.4,21.1,86645,60854,49258,44276,6.6,7.4,13.6,26.1,13.3,9.8,23.3,0.9,2.7,95.6,0.9,73.4,7.8,1.2,1.1,4.8,11.7,171912,1.19,13457236,8801,61.9,26.2,12,1615665,0,13845312,12939285,8463,52.7,5.9,6.3,13.1,22,6820276,4461,64.9,13.3,11.1,0.2,5.2,0.3,2.9,1.2,0.1,0.8,"1,000 to 1,599",Non-metropolitan Stable,"$148,669 to < $184,624",$1.1254 to under $1.2321
ARANSAS COUNTY ISD,004901,004 ARANSAS,02,Met Standard,5,3161,1.2,40.3,53.5,0.4,2.4,0,2.2,57.8,3.6,8.6,3.6,25.8,3.6,95.2,1.2,88.4,90.6,201,180,78,79,60,80,86,79,53,73,81,73,86,.,90,71,65.7,22,1374,20.7,479.2,237.3,1.7,2.8,7.8,49.5,10.3,27.9,89137,66832,50692,43815,21.6,6.6,13.3,34.1,12.9,21.8,19.4,1.3,8.9,87.8,2.1,86.6,7.1,1.3,0.8,4.1,0.1,785057,1.132,36086251,11533,23.3,64.2,12.5,9053691,0,42122504,30813334,9848,54,6.6,4.7,15,19.7,16631423,5315,62.5,13.9,11.1,0.2,4.4,0.3,3.9,1.4,1.4,1,"3,000 to 4,999",Non-metropolitan Stable,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
ARCHER CITY ISD,005901,005 ARCHER,09,Improvement Required,2,488,0.4,7,87.9,1,0,0,3.7,35.7,0.4,8.6,0.4,22.3,7.6,96.6,0,100,100,39,17,86,88,80,87,89,83,63,77,87,100,.,.,90,76,66.7,19.2,1487,20.5,83.8,48.3,0.6,2.4,4.6,57.6,15.3,19.4,92909,78388,48163,42900,2.4,5.8,10.1,27.2,12.3,6.2,19.6,0,2.1,89.4,8.5,83.5,8.6,2.1,0,5.8,0,348818,1.12,5867061,11758,50.9,43.3,5.8,1423316,0,5593722,5252711,10526,58.5,6.5,5.2,10.1,19.7,3073324,6159,63.2,11.6,10.5,0,5.8,0.4,7.4,1.1,0,0,Under 500,Rural,"$338,619 to < $381,395",Under $1.1254
HOLLIDAY ISD,005902,005 ARCHER,09,Met Standard,3,887,0.6,6.9,90.8,0.8,0.1,0,0.9,30.3,0.2,8.9,0.2,23.6,3.4,96.9,0,98.2,100,58,45,84,89,80,88,85,69,55,78,85,74,.,.,82,77,81,48.9,1539,23.3,116.5,67.2,1.7,2.6,7.1,57.7,14.7,16.2,95263,71167,46097,42502,12,7.6,13.2,13.4,15.1,10.7,10.3,0,3,97,0,82.6,5,5.9,0,6,0.5,289618,1.17,7502916,8704,49.4,46.3,4.3,977887,0,7477260,6945719,8058,56.5,6.5,5.5,11.3,20.2,3926724,4555,67.3,11.1,4.4,0,5.9,0.4,6.9,1.9,0.9,1.1,500 to 999,Other Central City Suburban,"$275,100 to < $290,480",$1.1254 to under $1.2321
WINDTHORST ISD,005904,005 ARCHER,09,Met Standard,3,476,0,27.3,71.2,0.8,0.2,0,0.4,43.3,9,6.9,9,37.6,7.1,97.5,0,93.2,100,41,33,88,89,79,91,91,84,.,79,91,73,.,.,90,83,68.3,39.3,1514,22.4,66.3,36.7,1.5,3.6,2.8,55.4,8.1,28.5,87791,60679,49264,42778,7.5,7.2,13,19,14,8.2,7.7,0,0,100,0,82.4,6.1,2.7,0,8.8,0,131628,1.26,4920889,10448,71.1,21.8,7.1,3104980,0,4422323,4214917,8949,56.9,6.2,6.1,12.2,18.6,2397435,5090,62.1,7.8,10.2,1.2,7.9,0.6,7.7,1.7,0.9,0,Under 500,Rural,"$100,904 to < $148,669",$1.2321 to under $1.3593
CLAUDE ISD,006902,006 ARMSTRONG,16,Met Standard,2,366,2.7,12.8,81.7,0.5,0,0,2.2,41.3,0.8,12.3,0.8,29,3.8,97,0.8,96.8,91.7,34,34,79,87,66,72,88,78,89,74,79,-1,.,.,100,72,73.5,36,-1,21.9,65.3,37.2,4.3,1.9,4.3,56.9,11.9,20.8,72467,69867,56909,41454,7.6,5.6,9.8,24.2,12,12.8,22.6,0,2.7,91.9,5.4,87.7,2.7,1.8,0,7.8,0,269905,1.17,4557688,12521,60,32.3,7.7,2937205,0,4110139,3702734,10172,54.3,10.8,6,9,19.9,2010720,5524,67.8,11.3,6.8,0,5.8,0.1,8,0,0.1,0,Under 500,Rural,"$255,082 to < $275,100",$1.1254 to under $1.2321
CHARLOTTE ISD,007901,007 ATASCOSA,20,Improvement Required,3,502,0.6,85.7,12.9,0.4,0.2,0,0.2,70.9,6.2,6,6.2,23.9,2.4,95.9,2.6,89.5,97.4,34,29,56,62,38,63,62,42,-1,55,68,-1,.,.,-1,53,79.4,3.7,1182,17,82.3,42,1.8,3,4.9,51,9.7,29.5,90900,76580,45445,44300,66,6.1,12,31,10.5,19,27.5,0,50,50,0,84.3,6.9,2.4,0,6.4,0,202712,1.24,6254096,11981,51.3,29.2,19.5,1569733,0,6118221,4770121,9138,53.1,11.2,6.6,11.6,17.5,2532777,4852,49.6,12.3,23.6,1.3,6.2,0.4,4.5,0.9,1.3,0,500 to 999,Rural,"$200,659 to < $226,787",$1.2321 to under $1.3593
JOURDANTON ISD,007902,007 ATASCOSA,20,Met Standard,5,1470,0.5,59,38.9,0.2,0.2,0.1,1.1,54.9,2.1,7.6,2,28.8,5.6,96.3,2.1,90.7,88.2,80,66,76,79,65,79,79,69,63,72,82,-1,100,100,79,69,65,25,1358,21,186.6,98.1,1.1,4.8,2.7,52.6,10.7,28.2,96546,80845,59146,50139,40,7.9,15,17.3,15.5,21.4,14.9,1,18.3,73.5,7.1,84.9,5.6,0,0,6.1,3.4,318743,1.17,13520477,9488,43.7,47.6,8.8,3743998,0,15840131,11484924,8060,57.5,6,7.2,9.2,20,6600871,4632,61.1,13.7,10.3,0.3,6.7,0.6,4.3,1.3,0.7,1,"1,000 to 1,599",Non-metropolitan Stable,"$317,535 to < $338,619",$1.1254 to under $1.2321
LYTLE ISD,007904,007 ATASCOSA,20,Met Standard,5,1736,1,79.3,18.7,0.4,0,0.2,0.3,70,7.1,5.6,6.6,31.3,5.4,95.2,1.4,93.7,99.2,124,114,68,71,51,72,72,67,64,66,78,63,.,.,65,62,72.6,12.2,1342,18.3,260.1,117.2,2.3,2.7,8.6,45.1,8.8,32.5,78470,67232,57108,45155,55,6.7,14.8,36.7,10.2,23.5,19.1,0.9,37.6,60.7,0.9,77.2,9.1,5.4,0,6.1,2.3,124645,1.34,17656186,10307,65.7,19.7,14.6,2558515,0,24779685,14562688,8501,51.2,7.5,5.2,10.9,25.2,7451620,4350,52.6,12.3,18.6,0.4,4.7,0.3,4.5,1.4,3.5,1.6,"1,600 to 2,999",Non-metropolitan Stable,"$100,904 to < $148,669",$1.2321 to under $1.3593
PLEASANTON ISD,007905,007 ATASCOSA,20,Met Standard,7,3487,0.3,69.2,29.1,0.4,0.3,0,0.7,62.6,2.6,8,2.6,24.4,4.6,95.6,0.3,93.1,92.2,196,161,70,72,47,78,75,64,54,66,78,75,88,.,85,63,39.8,26.9,1390,20.4,503.1,235.3,1,2.4,8.8,46.8,13.7,27.4,87594,66581,53825,47094,43.5,6.9,14.8,39.2,9.8,14.9,21.9,0,25.6,71,3.4,83.9,9.5,1,0,4.7,0.9,199896,1.14,35630983,10382,46,33.1,20.9,6883556,0,33948903,31692279,9234,49.3,7.7,4.8,14.6,23.6,15628040,4554,52.2,23.6,12.5,0.3,3.5,0.7,2,1.5,2.7,1.1,"3,000 to 4,999",Independent Town,"$184,624 to < $200,659",$1.1254 to under $1.2321
POTEET ISD,007906,007 ATASCOSA,20,Met Standard,5,1773,0.1,84.9,14.2,0.2,0.2,0,0.5,79.9,4.5,7.2,3.9,26,5.3,94.6,0.7,92.3,96.2,114,106,63,68,51,68,63,56,88,61,76,.,100,.,-1,60,44.7,3.9,1309,17.2,258.6,121,1.9,3.5,11.4,46.8,8.3,28.1,79766,65363,49323,42332,61.6,6.9,14.7,40.1,11.6,22.1,29.2,2.5,49.7,47.1,0.7,82.2,7.7,4.8,0.2,4.2,0.8,100903,1.169,19085993,10814,57.3,14.4,28.2,3547162,0,18307594,16289429,9229,53.3,10.4,5.1,10.6,20.5,8683811,4920,46.2,7.6,34,0.3,4.4,0.3,4.4,0.9,1.7,0.3,"1,600 to 2,999",Non-metropolitan Stable,"Under $100,904",$1.1254 to under $1.2321
BELLVILLE ISD,008901,008 AUSTIN,06,Met Standard,5,2082,10.9,26.1,59.9,0.2,0.1,0,2.6,46.6,7.5,8.1,7.5,29.1,11.1,96.6,0.6,97.6,98.7,164,135,82,85,69,84,86,82,64,74,89,83,83,.,86,73,63.4,26,1474,22.7,311.4,154.8,1.6,3.2,7.5,49.7,11.7,26.3,88900,69165,51916,43196,16.3,6.7,13.4,22.6,16,13.4,18.1,1.5,4.5,94,0,82.1,7.7,0,2.5,6.8,0.9,453184,1.26,21481314,10057,26.6,66.6,6.8,4709330,0,19866967,17463203,8176,56.7,6.2,5.4,10.9,20.8,9896464,4633,61.9,14.7,6.9,1.3,6.3,1,4.3,1.9,0.8,1,"1,600 to 2,999",Independent Town,"$441,866 to < $478,896",$1.2321 to under $1.3593
SEALY ISD,008902,008 AUSTIN,06,Met Standard,4,2676,10.2,46.1,41.7,0.1,0.3,0.1,1.6,58.9,11,8.6,10.8,20.5,5.4,96.4,1.1,91.4,96.3,180,141,78,79,64,83,82,77,57,75,87,94,93,100,74,70,58.9,9.4,1358,19.6,337.4,184.8,1.2,3.6,8.8,54.8,13.8,17.9,92207,71079,55329,48136,20.3,7.9,14.5,24.7,14,12.6,12.2,4.3,6.5,88.1,1.1,62.8,17.2,3.2,4,4.9,8,402771,1.26,26592414,9963,37.1,52.5,10.4,6401348,0,25620446,22651004,8487,55.5,6.5,6.1,11.5,20.5,12567146,4709,60,18,7.9,0.8,4.2,0.6,4.2,1.7,1.3,1.3,"1,600 to 2,999",Other Central City Suburban,"$401,088 to < $441,866",$1.2321 to under $1.3593
BRAZOS ISD,008903,008 AUSTIN,06,Met Standard,3,821,9.3,49.5,39,0,0.7,0,1.6,56.8,11.9,5,11.6,27.9,1.7,96.2,0.8,94.6,98,53,46,79,79,59,85,83,79,70,74,85,.,100,.,92,73,64.2,26.5,1407,21.1,122.5,61.9,2.9,2.4,7.7,50.6,11.4,25,69983,70134,52097,48037,23.5,6.7,13.3,22.6,14,19.1,20.4,1.6,8.1,90.3,0,80.1,8.3,0,0.2,6.9,4.5,381394,1.433,9356364,10930,42.9,47.5,9.6,1432983,0,9246582,7869789,9194,52.8,6.9,6.4,11.8,22.1,4156751,4856,59,11.6,13.2,0.7,6.7,0.6,5.8,1.8,0.5,0,500 to 999,Other Central City Suburban,"$338,619 to < $381,395",$1.3593 and over
MULESHOE ISD,009901,009 BAILEY,17,Met Standard,5,1486,0.2,81.8,17.4,0,0.5,0,0.1,82.6,18,9.8,17.5,22.9,3.2,96.7,0.3,98.6,97.5,71,59,71,70,51,82,81,63,-1,68,85,.,89,.,.,68,64.8,10.9,-1,18.8,227.5,114.9,1.8,3.5,6,50.5,18.3,19.9,104838,68162,45593,41596,29.8,6.5,12.9,27.8,12.6,18.1,23.2,0.9,14.8,82.6,1.7,77.6,8.6,5.1,3.9,3.7,1.2,168818,1.36,16638634,10946,55.9,24.6,19.5,3993751,0,15657248,13368931,8795,57.2,6.8,6.3,9.3,20.3,7651996,5034,48.3,13.4,22.3,2.5,4.3,0.4,4.6,0.9,1.8,1.7,"1,000 to 1,599",Non-metropolitan Stable,"$148,669 to < $184,624",$1.3593 and over
MEDINA ISD,010901,010 BANDERA,20,Met Standard,2,266,1.1,25.2,72.2,0.4,0,0,1.1,59.8,6.8,14.7,5.6,37.2,6.4,97.1,0,100,100,33,24,84,92,71,79,91,84,-1,75,88,.,.,.,-1,82,81.8,14.8,1388,21.3,68.6,34.4,3.1,2.9,4.4,50.1,12.8,26.7,82170,76553,49710,40095,10.1,3.9,7.7,20.4,13.4,21.7,25.9,0,11.6,82.5,5.8,71,11.7,8.7,0,6.7,1.8,670836,1.04,3870540,13439,33.5,58.3,8.2,372520,0,3917673,3917673,13603,52.7,9.5,6.1,12,19.6,2066197,7174,49.3,18.5,16,1.9,6.8,2.3,4.8,0,0.5,0,Under 500,Rural,"$520,538 to < $678,171",Under $1.1254
BANDERA ISD,010902,010 BANDERA,20,Met Standard,4,2443,0.4,30.2,66.4,0.7,0.6,0,1.7,50,4.2,9.8,4.2,27.1,6.3,95.5,1.2,91.2,93.9,172,122,80,84,66,79,89,82,86,74,83,83,97,.,69,73,63.4,19.3,1423,20.8,336,172.7,1.5,3.1,8.3,51.4,10.7,25.1,86379,69657,55765,50131,13.5,7.3,14.1,20.7,14.1,25.4,13.2,0,8.7,90.7,0.6,72.3,9.9,8.9,0.1,4.4,4.3,530571,1.19,24081512,9890,18.7,70,11.2,5171319,0,24662527,21368219,8775,58,4.2,4.3,10,23.5,12385319,5086,55.3,16.5,10.9,0.5,5.3,0.5,3.5,4.7,2.5,0.4,"1,600 to 2,999",Major Suburban,"$520,538 to < $678,171",$1.1254 to under $1.2321
